5005,6,1,2,49999.9900,.0000,99999.98000000,2026-08-04 17:00:11.8108435,NULL,NULL,pending
5006,6,3,5,4999.9900,.1000,22499.95500000,2026-08-04 17:00:11.8108435,NULL,NULL,pending
5003,6,1,2,49999.9900,.0000,99999.98000000,2026-08-04 16:58:15.9421601,NULL,NULL,pending
5004,6,3,5,4999.9900,.1000,22499.95500000,2026-08-04 16:58:15.9421601,NULL,NULL,pending
5001,6,1,2,49999.9900,.0000,99999.98000000,2026-08-04 16:55:46.8674587,NULL,NULL,pending
5002,6,3,5,4999.9900,.1000,22499.95500000,2026-08-04 16:55:46.8674587,NULL,NULL,pending
5000,1757,714,6,97410.9900,.0000,584465.94000000,2026-08-04 16:52:59.6143597,0xE610,{"payment_method":"ach","terms":"immediate","po_number":"PO-2026-5000","processed":false,"discount_code":null},disputed
4999,3002,760,29,14970.9900,.0000,434158.71000000,2026-08-04 16:52:59.6102782,0xE610,{"payment_method":"wire_transfer","terms":"net_30","po_number":"PO-2026-4999","processed":true,"discount_code":null},disputed
4998,3116,726,15,67791.9900,.0000,1016879.85000000,2026-08-04 16:52:59.6061953,0xE610,{"payment_method":"sepa","terms":"immediate","po_number":"PO-2026-4998","processed":true,"discount_code":null},completed
4997,4951,676,41,52209.9900,.0000,2140609.59000000,2026-08-04 16:52:59.6021162,0xE610,{"payment_method":"crypto","terms":"net_45","po_number":"PO-2026-4997","processed":true,"discount_code":null},pending
4996,2489,804,3,24884.9900,.0000,74654.97000000,2026-08-04 16:52:59.5980286,0xE610,{"payment_method":"wire_transfer","terms":"net_45","po_number":"PO-2026-4996","processed":true,"discount_code":null},refunded
4995,2572,327,26,55299.9900,.0000,1437799.74000000,2026-08-04 16:52:59.5898606,0xE610,{"payment_method":"sepa","terms":"net_30","po_number":"PO-2026-4995","processed":true,"discount_code":null},completed
4994,1116,589,27,98509.9900,.0000,2659769.73000000,2026-08-04 16:52:59.5857746,0xE610,{"payment_method":"credit_card","terms":"net_60","po_number":"PO-2026-4994","processed":false,"discount_code":null},completed
4993,2835,866,2,27608.9900,.0000,55217.98000000,2026-08-04 16:52:59.5816918,0xE610,{"payment_method":"credit_card","terms":"net_30","po_number":"PO-2026-4993","processed":false,"discount_code":null},pending
4992,861,924,23,92109.9900,.1500,1800750.30450000,2026-08-04 16:52:59.5776057,0xE610,{"payment_method":"sepa","terms":"immediate","po_number":"PO-2026-4992","processed":false,"discount_code":"SAVE15"},pending
4991,2111,77,2,85595.9900,.0000,171191.98000000,2026-08-04 16:52:59.5735247,0xE610,{"payment_method":"ach","terms":"net_30","po_number":"PO-2026-4991","processed":true,"discount_code":null},refunded
4990,1153,550,15,354.9900,.0000,5324.85000000,2026-08-04 16:52:59.5694423,0xE610,{"payment_method":"credit_card","terms":"net_45","po_number":"PO-2026-4990","processed":true,"discount_code":null},completed
4989,3951,215,13,52512.9900,.0000,682668.87000000,2026-08-04 16:52:59.5653610,0xE610,{"payment_method":"sepa","terms":"immediate","po_number":"PO-2026-4989","processed":false,"discount_code":null},refunded
4988,3673,491,31,5173.9900,.0000,160393.69000000,2026-08-04 16:52:59.5612792,0xE610,{"payment_method":"sepa","terms":"net_45","po_number":"PO-2026-4988","processed":false,"discount_code":null},disputed
4987,1394,65,5,16547.9900,.0000,82739.95000000,2026-08-04 16:52:59.5530892,0xE610,{"payment_method":"crypto","terms":"net_60","po_number":"PO-2026-4987","processed":false,"discount_code":null},disputed
4986,1899,943,16,91534.9900,.0000,1464559.84000000,2026-08-04 16:52:59.5489588,0xE610,{"payment_method":"crypto","terms":"net_60","po_number":"PO-2026-4986","processed":false,"discount_code":null},disputed
4985,4174,179,28,65599.9900,.1500,1561279.76200000,2026-08-04 16:52:59.5448742,0xE610,{"payment_method":"crypto","terms":"immediate","po_number":"PO-2026-4985","processed":false,"discount_code":"SAVE15"},disputed
4984,1968,474,23,61652.9900,.0000,1418018.77000000,2026-08-04 16:52:59.5408406,0xE610,{"payment_method":"sepa","terms":"net_30","po_number":"PO-2026-4984","processed":true,"discount_code":null},disputed
4983,3630,428,28,98663.9900,.0000,2762591.72000000,2026-08-04 16:52:59.5367692,0xE610,{"payment_method":"crypto","terms":"net_60","po_number":"PO-2026-4983","processed":true,"discount_code":null},completed
4982,3150,133,46,42623.9900,.0000,1960703.54000000,2026-08-04 16:52:59.5326983,0xE610,{"payment_method":"credit_card","terms":"net_45","po_number":"PO-2026-4982","processed":true,"discount_code":null},disputed
4981,2375,336,39,85839.9900,.0000,3347759.61000000,2026-08-04 16:52:59.5286121,0xE610,{"payment_method":"wire_transfer","terms":"immediate","po_number":"PO-2026-4981","processed":true,"discount_code":null},pending
4980,3635,531,33,65796.9900,.0000,2171300.67000000,2026-08-04 16:52:59.5245301,0xE610,{"payment_method":"ach","terms":"net_60","po_number":"PO-2026-4980","processed":true,"discount_code":null},pending
