4838,3034603.62000000
261,383927.66000000
1589,1808581.54000000
925,319409.65000000
3581,1558575.84000000
1234,605479.90000000
3865,2709472.63000000
1566,1209983.76000000
4197,93148.51000000
4861,3175119.57000000
2230,411535.03950000
2562,2127121.32800000
687,673843.71000000
2539,58279.96000000
1472,1073009.53000000
1042,3058886.59000000
710,1625219.64000000
2800,599567.88000000
547,327815.94000000
2136,987733.62000000
2468,31667.97000000
1875,538311.92000000
2207,2609837.67000000
4128,1314222.12800000
3464,3223849.65000000
46,2185439.60000000
1520,551194.77000000
2159,117093.98000000
2491,1823954.79000000
192,2490003.56000000
401,2099149.42600000
1188,484285.78000000
4483,907226.73000000
69,1359863.83000000
2084,1984272.63000000
1420,1074499.50000000
2422,2208302.73000000
3086,165631.96000000
2345,1253039.76000000
4337,1084671.84000000
1758,2440511.64000000
3009,1441149.62000000
3673,710681.79000000
756,890096.71000000
4314,82427.97000000
1658,4073579.58000000
2986,1035199.50000000
2322,1911589.62000000
3435,1701079.60000000
1443,506549.89000000
