1930,12072187.61000000,4024062.53666666,3,2026-08-04 16:52:56.9707662
1499,10759981.41000000,2151996.28200000,5,2026-08-04 16:52:56.8687973
5,10489081.17000000,1748180.19500000,6,2026-08-04 16:52:55.0772977
2428,10357358.52000000,1726226.42000000,6,2026-08-04 16:52:58.5579640
4464,9840677.54600000,1968135.50920000,5,2026-08-04 16:52:58.9288230
3061,9736894.86000000,2434223.71500000,4,2026-08-04 16:52:49.9197387
3721,9661978.65350000,2415494.66337500,4,2026-08-04 16:52:51.9429118
3830,9198508.73000000,2299627.18250000,4,2026-08-04 16:52:50.8370514
2037,8922793.51800000,2230698.37950000,4,2026-08-04 16:52:45.4765500
3073,8870757.74000000,1774151.54800000,5,2026-08-04 16:52:55.5828750
2910,8834364.89000000,2208591.22250000,4,2026-08-04 16:52:56.8116481
929,8817757.09050000,2204439.27262500,4,2026-08-04 16:52:59.4919139
1678,8459384.14900000,2114846.03725000,4,2026-08-04 16:52:55.3259492
70,8286083.68000000,2762027.89333333,3,2026-08-04 16:52:48.9520968
811,8220464.03000000,2740154.67666666,3,2026-08-04 16:52:58.3948541
1425,8159444.09400000,2039861.02350000,4,2026-08-04 16:52:51.5472510
1224,8151575.88950000,1630315.17790000,5,2026-08-04 16:52:51.2901287
3458,8121534.93000000,2707178.31000000,3,2026-08-04 16:52:44.7457714
871,8100678.91000000,1620135.78200000,5,2026-08-04 16:52:56.4403999
52,8059599.49000000,2014899.87250000,4,2026-08-04 16:52:51.9999613
2679,8051662.69400000,1610332.53880000,5,2026-08-04 16:52:55.0036092
877,7942811.86000000,2647603.95333333,3,2026-08-04 16:52:56.7666999
1730,7838142.95000000,2612714.31666666,3,2026-08-04 16:52:47.6831277
3930,7789432.98000000,2596477.66000000,3,2026-08-04 16:52:57.1910123
4405,7776052.64000000,2592017.54666666,3,2026-08-04 16:52:59.0838149
235,7766980.93000000,2588993.64333333,3,2026-08-04 16:52:59.4103348
2463,7707724.96000000,1926931.24000000,4,2026-08-04 16:52:57.9543082
4451,7654709.04000000,3827354.52000000,2,2026-08-04 16:52:59.3858983
920,7640515.48000000,1910128.87000000,4,2026-08-04 16:52:55.8935143
855,7606573.80000000,1521314.76000000,5,2026-08-04 16:52:52.1634836
4382,7590164.07300000,1084309.15328571,7,2026-08-04 16:52:52.4002613
2164,7583168.72000000,1895792.18000000,4,2026-08-04 16:52:52.9104427
3852,7527753.25650000,1881938.31412500,4,2026-08-04 16:52:47.1691441
4713,7484016.11000000,2494672.03666666,3,2026-08-04 16:52:56.4281632
4428,7461322.22250000,1865330.55562500,4,2026-08-04 16:52:55.2892370
1690,7425714.97000000,2475238.32333333,3,2026-08-04 16:52:56.5382955
2776,7395184.19000000,3697592.09500000,2,2026-08-04 16:52:56.4159172
2712,7365283.97000000,2455094.65666666,3,2026-08-04 16:52:56.0363342
1298,7342954.95450000,2447651.65150000,3,2026-08-04 16:52:55.8486258
229,7322334.05000000,3661167.02500000,2,2026-08-04 16:52:41.1281018
1490,7285072.68000000,1821268.17000000,4,2026-08-04 16:52:59.0144608
2942,7279372.76050000,3639686.38025000,2,2026-08-04 16:52:45.1988558
3838,7157007.00000000,2385669.00000000,3,2026-08-04 16:52:59.2635732
3267,7127112.87000000,2375704.29000000,3,2026-08-04 16:52:57.2440511
373,7062584.72000000,2354194.90666666,3,2026-08-04 16:52:51.1716533
885,7049384.11000000,3524692.05500000,2,2026-08-04 16:52:43.2250477
2606,7023269.55400000,2341089.85133333,3,2026-08-04 16:52:55.1384375
2040,6975582.55000000,1395116.51000000,5,2026-08-04 16:52:58.4275187
4219,6961918.98100000,2320639.66033333,3,2026-08-04 16:52:48.6745268
4832,6952903.92000000,2317634.64000000,3,2026-08-04 16:52:48.7683532
