2637,3712,0.52818240870444511,POINT (11.63 -80.93),POINT (11.6 -80.93)
19,3185,3.3841986009234515,POINT (113.1 -89.84),POINT (120.79 -89.82)
3196,3760,3.4131220158872462,POINT (-174.34 86.68),POINT (-174.44 86.65)
90,1305,5.1145660060647176,POINT (-12.68 74.37),POINT (-12.51 74.37)
4025,4566,5.8847944637883192,POINT (-36.78 27.03),POINT (-36.8 27.08)
4434,4682,5.9898856884162974,POINT (15.29 -43.9),POINT (15.24 -43.94)
361,4742,6.3746280520897614,POINT (11.68 60.9),POINT (11.79 60.88)
1093,3172,7.0885308178916464,POINT (84.77 -45.49),POINT (84.69 -45.46)
3845,4771,8.3304803789437063,POINT (23.65 -76.47),POINT (23.46 -76.53)
3111,4834,8.9761596156324384,POINT (-106.91 -83.61),POINT (-106.84 -83.69)
695,4019,9.0482693147901987,POINT (4.07 -84.39),POINT (3.94 -84.31)
211,725,9.1412506989549804,POINT (-1.85 -79.28),POINT (-1.44 -79.31)
2097,4910,9.5579542031292171,POINT (-36.63 39.26),POINT (-36.74 39.27)
1972,3707,9.7069177346095845,POINT (146.6 -84.39),POINT (146.95 -84.47)
2513,3957,9.9551039327779538,POINT (-68.74 87.45),POINT (-70.7 87.47)
3768,3903,10.086753462025701,POINT (-113.87 88.43),POINT (-114.15 88.52)
1279,3632,10.109478492573674,POINT (118.8 89.24),POINT (113.88 89.18)
3445,3605,10.152368903984607,POINT (-100.13 -76.52),POINT (-99.74 -76.52)
2642,3782,10.203850990134303,POINT (161.14 85.5),POINT (162.12 85.55)
355,2752,10.368959542444477,POINT (-73.38 -89.97),POINT (-121.78 -89.89)
2039,2553,10.634010048282247,POINT (112.07 -89.46),POINT (108.46 -89.55)
293,1379,10.657963788975794,POINT (-78.69 89.22),POINT (-84.48 89.17)
161,2099,10.672602795928318,POINT (-157.32 -34.83),POINT (-157.24 -34.76)
2658,4949,11.119079051644301,POINT (-175.87 88.82),POINT (-172.53 88.75)
2441,3587,11.388930223477741,POINT (-93.26 89.52),POINT (-99.61 89.61)
2823,3424,11.465678337706798,POINT (-26.29 -69.98),POINT (-26.07 -70.05)
4789,4888,11.55032149047376,POINT (-24.43 -87.2),POINT (-24.96 -87.1)
1777,3971,11.927775171062713,POINT (13.74 -89.53),POINT (2.19 -89.59)
2126,4215,11.982064084323943,POINT (-144.6 -83.64),POINT (-143.65 -83.62)
1791,4292,12.237829163844333,POINT (-131.93 -84.91),POINT (-131.43 -84.81)
2898,4285,12.313202967556629,POINT (92.07 89.94),POINT (87.94 89.83)
224,3140,12.477815480596457,POINT (-144.37 -87.79),POINT (-147.1 -87.83)
3733,3993,12.519909209571223,POINT (150.7 -77.45),POINT (150.6 -77.34)
1576,2432,12.569311215161399,POINT (47.91 86.25),POINT (48.71 86.35)
695,1913,12.757266727655534,POINT (4.07 -84.39),POINT (4.91 -84.47)
3037,4630,12.961069758990398,POINT (-120.85 -21.49),POINT (-120.77 -21.58)
4177,4285,12.990237550412512,POINT (78.01 89.72),POINT (87.94 89.83)
1175,2006,13.003305218258582,POINT (94.21 76.2),POINT (94.05 76.09)
591,4620,13.129752816120227,POINT (-101.74 89.31),POINT (-93.46 89.38)
2657,3532,13.350545509681396,POINT (46.32 -9.09),POINT (46.37 -8.98)
78,4541,13.582210426951667,POINT (61.28 -68.4),POINT (61.55 -68.33)
2012,4620,13.924355657080538,POINT (-82.16 89.42),POINT (-93.46 89.38)
3087,4475,13.939455423402688,POINT (-157.53 -87.09),POINT (-158.67 -86.98)
3140,4164,14.093567469205675,POINT (-147.1 -87.83),POINT (-146.04 -87.95)
1111,2145,14.302358050938212,POINT (-110.91 77.82),POINT (-111.47 77.87)
3971,4435,14.358755363369404,POINT (2.19 -89.59),POINT (-3.48 -89.47)
2279,3342,14.432806079596634,POINT (-14.36 -89.17),POINT (-23.29 -89.19)
605,4623,14.97230913482724,POINT (13.5 -87.78),POINT (14.37 -87.91)
2545,3377,15.104434775565844,POINT (144.73 -74.84),POINT (144.97 -74.96)
3587,3769,15.378243724618381,POINT (-99.61 89.61),POINT (-111.55 89.73)
