1,549759.84000000,2026-08-12 20:04:33.7981249,2026-08-12 20:11:23.3391101,Historical
1,549759.84000000,2026-08-12 20:11:23.3391101,9999-12-31 23:59:59.9999999,Current
2,1766915.82000000,2026-08-12 20:04:33.8062991,2026-08-12 20:11:23.3391101,Historical
2,1766915.82000000,2026-08-12 20:11:23.3391101,9999-12-31 23:59:59.9999999,Current
3,145243.96000000,2026-08-12 20:04:33.8144437,2026-08-12 20:11:23.3391101,Historical
3,145243.96000000,2026-08-12 20:11:23.3391101,9999-12-31 23:59:59.9999999,Current
4,3973426.53000000,2026-08-12 20:04:33.8185193,2026-08-12 20:11:23.3391101,Historical
4,3973426.53000000,2026-08-12 20:11:23.3391101,9999-12-31 23:59:59.9999999,Current
5,895850.89000000,2026-08-12 20:04:33.8266659,2026-08-12 20:11:23.3391101,Historical
5,895850.89000000,2026-08-12 20:11:23.3391101,9999-12-31 23:59:59.9999999,Current
6,2165903.76000000,2026-08-12 20:04:33.8307451,2026-08-12 20:11:23.3391101,Historical
6,2165903.76000000,2026-08-12 20:11:23.3391101,9999-12-31 23:59:59.9999999,Current
7,336265.93000000,2026-08-12 20:04:33.8388880,2026-08-12 20:11:23.3391101,Historical
7,336265.93000000,2026-08-12 20:11:23.3391101,9999-12-31 23:59:59.9999999,Current
8,1727799.60000000,2026-08-12 20:04:33.8429595,2026-08-12 20:11:23.3391101,Historical
8,1727799.60000000,2026-08-12 20:11:23.3391101,9999-12-31 23:59:59.9999999,Current
9,1458743.81000000,2026-08-12 20:04:33.8511014,2026-08-12 20:11:23.3391101,Historical
9,1458743.81000000,2026-08-12 20:11:23.3391101,9999-12-31 23:59:59.9999999,Current
10,795179.85000000,2026-08-12 20:04:33.8551737,2026-08-12 20:11:23.3391101,Historical
10,795179.85000000,2026-08-12 20:11:23.3391101,9999-12-31 23:59:59.9999999,Current
11,3946918.53000000,2026-08-12 20:04:33.8633227,2026-08-12 20:11:23.3391101,Historical
11,3946918.53000000,2026-08-12 20:11:23.3391101,9999-12-31 23:59:59.9999999,Current
12,2259725.58000000,2026-08-12 20:04:33.8673942,2026-08-12 20:11:23.3391101,Historical
12,2259725.58000000,2026-08-12 20:11:23.3391101,9999-12-31 23:59:59.9999999,Current
13,56060.88300000,2026-08-12 20:04:33.8755376,2026-08-12 20:11:23.3391101,Historical
13,56060.88300000,2026-08-12 20:11:23.3391101,9999-12-31 23:59:59.9999999,Current
14,35993.94000000,2026-08-12 20:04:33.8836951,9999-12-31 23:59:59.9999999,Current
15,1107072.81000000,2026-08-12 20:04:33.8877818,2026-08-12 20:11:23.3391101,Historical
15,1107072.81000000,2026-08-12 20:11:23.3391101,9999-12-31 23:59:59.9999999,Current
16,653343.83000000,2026-08-12 20:04:33.8959256,2026-08-12 20:11:23.3391101,Historical
16,653343.83000000,2026-08-12 20:11:23.3391101,9999-12-31 23:59:59.9999999,Current
17,96716.99000000,2026-08-12 20:04:33.9040918,2026-08-12 20:11:23.3391101,Historical
17,96716.99000000,2026-08-12 20:11:23.3391101,9999-12-31 23:59:59.9999999,Current
18,2704995.72000000,2026-08-12 20:04:33.9081696,2026-08-12 20:11:23.3391101,Historical
18,2704995.72000000,2026-08-12 20:11:23.3391101,9999-12-31 23:59:59.9999999,Current
19,3079671.62000000,2026-08-12 20:04:33.9163138,2026-08-12 20:11:23.3391101,Historical
19,3079671.62000000,2026-08-12 20:11:23.3391101,9999-12-31 23:59:59.9999999,Current
20,890378.73000000,2026-08-12 20:04:33.9203875,2026-08-12 20:11:23.3391101,Historical
20,890378.73000000,2026-08-12 20:11:23.3391101,9999-12-31 23:59:59.9999999,Current
21,329327.92000000,2026-08-12 20:04:33.9285328,2026-08-12 20:11:23.3391101,Historical
21,329327.92000000,2026-08-12 20:11:23.3391101,9999-12-31 23:59:59.9999999,Current
22,122864.85000000,2026-08-12 20:04:33.9326031,2026-08-12 20:11:23.3391101,Historical
22,122864.85000000,2026-08-12 20:11:23.3391101,9999-12-31 23:59:59.9999999,Current
23,312116.87000000,2026-08-12 20:04:33.9407413,2026-08-12 20:11:23.3391101,Historical
23,312116.87000000,2026-08-12 20:11:23.3391101,9999-12-31 23:59:59.9999999,Current
24,1762524.75000000,2026-08-12 20:04:33.9448120,2026-08-12 20:11:23.3391101,Historical
24,1762524.75000000,2026-08-12 20:11:23.3391101,9999-12-31 23:59:59.9999999,Current
25,179343.92000000,2026-08-12 20:04:33.9529565,2026-08-12 20:11:23.3391101,Historical
25,179343.92000000,2026-08-12 20:11:23.3391101,9999-12-31 23:59:59.9999999,Current
26,1101855.84000000,2026-08-12 20:04:33.9611188,2026-08-12 20:11:23.3391101,Historical
