1,1004,I,Quantum Database Server Enterprise v2,54999.9900
2,2,I,Lite Development Solution 2,93246.9900
3,3,I,Standard Hardware Solution 3,44883.9900
4,4,I,Professional Software Solution 4,55662.9900
5,5,I,Ultimate Hardware Solution 5,78080.9900
6,6,I,Advanced Infrastructure Solution 6,61854.9900
7,7,I,Lite Software Solution 7,77961.9900
8,8,I,Enterprise Security Solution 8,17845.9900
9,9,I,Advanced Infrastructure Solution 9,33841.9900
10,10,I,Professional Storage Solution 10,63321.9900
11,11,I,Pro Security Solution 11,25358.9900
12,12,I,Enterprise Cloud Solution 12,20119.9900
13,13,I,Lite Cloud Solution 13,82207.9900
14,14,I,Pro Development Solution 14,81984.9900
15,15,I,Pro Storage Solution 15,11533.9900
16,16,I,Lite Software Solution 16,99052.9900
17,17,I,Lite Hardware Solution 17,23337.9900
18,18,I,Advanced Analytics Solution 18,84620.9900
19,19,I,Pro Analytics Solution 19,30346.9900
20,20,I,Ultimate Infrastructure Solution 20,94001.9900
21,21,I,Premium Storage Solution 21,87076.9900
22,22,I,Professional Storage Solution 22,65120.9900
23,23,I,Standard Cloud Solution 23,20672.9900
24,24,I,Basic Storage Solution 24,53592.9900
25,25,I,Premium Software Solution 25,71070.9900
26,26,I,Standard Software Solution 26,12497.9900
27,27,I,Enterprise Monitoring Solution 27,64449.9900
28,28,I,Basic Security Solution 28,47708.9900
29,29,I,Starter Software Solution 29,32298.9900
30,30,I,Standard Cloud Solution 30,21212.9900
31,31,I,Ultimate Services Solution 31,36037.9900
32,32,I,Professional Hardware Solution 32,16936.9900
33,33,I,Lite Services Solution 33,25199.9900
34,34,I,Basic Cloud Solution 34,84596.9900
35,35,I,Professional Analytics Solution 35,54839.9900
36,36,I,Standard Hardware Solution 36,42035.9900
37,37,I,Enterprise Services Solution 37,80771.9900
38,38,I,Starter Cloud Solution 38,69562.9900
39,39,I,Professional Software Solution 39,37683.9900
40,40,I,Lite Software Solution 40,43416.9900
41,41,I,Enterprise Security Solution 41,65851.9900
42,42,I,Professional Monitoring Solution 42,45601.9900
43,43,I,Ultimate Monitoring Solution 43,47009.9900
44,44,I,Basic Development Solution 44,80508.9900
45,45,I,Advanced Infrastructure Solution 45,62671.9900
46,46,I,Enterprise Development Solution 46,42029.9900
47,47,I,Enterprise Services Solution 47,3453.9900
48,48,I,Enterprise Cloud Solution 48,72751.9900
49,49,I,Professional Software Solution 49,27900.9900
50,50,I,Ultimate Cloud Solution 50,72030.9900
82,0x07B6DA3F9161485D,2,116644.5395,453232.18699999998,614359.0,2026-08-04 16:58:13.5500000 +00:00
82,0x07B6DA3F9161485D,1,111006.474,438970.96000000002,614368.0,2026-08-04 17:00:09.9830000 +00:00
82,0x07B6DA3F9161485D,1,108439.36500000001,430079.10999999999,614374.0,2026-08-04 21:42:08.3070000 +00:00
52,0xBAD0F0A29D23E725,3,10474.316333333334,4072.9313333333334,1661525.0,2026-08-04 16:57:34.9830000 +00:00
49,0xB6442C2D37539806,3,9135.5936666666657,3430.0136666666667,1411553.3333333333,2026-08-04 16:57:07.3600000 +00:00
53,0xC191B8B2CEA3CBE9,3,3842.2973333333334,348.75900000000001,382728.66666666669,2026-08-04 16:57:46.1870000 +00:00
52,0xBAD0F0A29D23E725,1,3036.1700000000001,3014.0999999999999,1663178.0,2026-08-04 21:40:13.7770000 +00:00
49,0xB6442C2D37539806,1,2528.3879999999999,2508.7689999999998,1412881.0,2026-08-04 21:40:09.2830000 +00:00
79,0xF7D0B37EB5A99F65,3,2519.7449999999999,2500.5183333333334,1259366.0,2026-08-04 16:58:18.6070000 +00:00
79,0xF7D0B37EB5A99F65,1,2386.8270000000002,2371.8110000000001,1259366.0,2026-08-04 21:40:19.4200000 +00:00
50,0x0B90CBCB11F93E9E,3,589.3696666666666,346.76766666666668,279350.66666666669,2026-08-04 16:57:08.9670000 +00:00
53,0xC191B8B2CEA3CBE9,1,295.49099999999999,268.786,383456.0,2026-08-04 21:40:14.1700000 +00:00
189,0xC5658DEBEEC48DBE,1,236.31899999999999,236.31299999999999,181443.0,2026-08-04 20:43:27.5070000 +00:00
50,0x0B90CBCB11F93E9E,1,232.40600000000001,232.40299999999999,288282.0,2026-08-04 21:40:09.6230000 +00:00
189,0xC5658DEBEEC48DBE,1,226.12299999999999,226.113,179701.0,2026-08-04 17:02:17.8670000 +00:00
84,0xB4A7F1E4E2AA7E4B,2,218.548,215.86500000000001,7.0,2026-08-04 16:58:13.9430000 +00:00
84,0xB4A7F1E4E2AA7E4B,1,194.66399999999999,194.661,7.0,2026-08-04 17:00:10.2770000 +00:00
84,0xB4A7F1E4E2AA7E4B,1,193.14500000000001,193.13999999999999,7.0,2026-08-04 21:42:08.6170000 +00:00
56,0x315CDB06FBC26673,3,168.09366666666665,190.94133333333335,892.0,2026-08-04 16:57:47.1900000 +00:00
