1,2499567.71000000,{"payment_method":"crypto","terms":"net_60","po_number":"PO-2026-0001","processed":true,"discount_code":null,"tags":["high_value","high_value","high_value","high_value"]}
2,2104706.77000000,{"payment_method":"ach","terms":"net_45","po_number":"PO-2026-0002","processed":false,"discount_code":null,"tags":["high_value","high_value","high_value","high_value"]}
3,440355.93000000,{"payment_method":"ach","terms":"net_60","po_number":"PO-2026-0003","processed":false,"discount_code":null,"tags":["high_value","high_value","high_value","high_value"]}
4,762483.66000000,{"payment_method":"crypto","terms":"net_30","po_number":"PO-2026-0004","processed":false,"discount_code":null,"tags":["high_value","high_value","high_value","high_value"]}
5,872855.82000000,{"payment_method":"credit_card","terms":"immediate","po_number":"PO-2026-0005","processed":false,"discount_code":null,"tags":["high_value","high_value","high_value","high_value"]}
6,1830019.21300000,{"payment_method":"credit_card","terms":"net_60","po_number":"PO-2026-0006","processed":true,"discount_code":"SAVE15","tags":["high_value","high_value","high_value","high_value"]}
7,571482.89000000,{"payment_method":"wire_transfer","terms":"net_60","po_number":"PO-2026-0007","processed":true,"discount_code":null,"tags":["high_value","high_value","high_value","high_value"]}
8,175157.94000000,{"payment_method":"credit_card","terms":"immediate","po_number":"PO-2026-0008","processed":false,"discount_code":null,"tags":["high_value","high_value","high_value","high_value"]}
9,3104181.62000000,{"payment_method":"ach","terms":"net_30","po_number":"PO-2026-0009","processed":true,"discount_code":null,"tags":["high_value","high_value","high_value","high_value"]}
10,2730871.71000000,{"payment_method":"crypto","terms":"net_60","po_number":"PO-2026-0010","processed":true,"discount_code":null,"tags":["high_value","high_value","high_value","high_value"]}
11,2888996.63000000,{"payment_method":"credit_card","terms":"net_30","po_number":"PO-2026-0011","processed":false,"discount_code":null,"tags":["high_value","high_value","high_value","high_value"]}
12,912079.84000000,{"payment_method":"crypto","terms":"net_30","po_number":"PO-2026-0012","processed":true,"discount_code":null,"tags":["high_value","high_value","high_value","high_value"]}
13,218459.70000000,{"payment_method":"sepa","terms":"net_60","po_number":"PO-2026-0013","processed":true,"discount_code":null,"tags":["high_value","high_value","high_value","high_value"]}
14,740127.92000000,{"payment_method":"sepa","terms":"immediate","po_number":"PO-2026-0014","processed":true,"discount_code":null,"tags":["high_value","high_value","high_value","high_value"]}
15,848852.73000000,{"payment_method":"sepa","terms":"immediate","po_number":"PO-2026-0015","processed":false,"discount_code":null,"tags":["high_value","high_value","high_value","high_value"]}
16,1761759.78000000,{"payment_method":"sepa","terms":"net_60","po_number":"PO-2026-0016","processed":false,"discount_code":null,"tags":["high_value","high_value","high_value","high_value"]}
17,1834479.77000000,{"payment_method":"wire_transfer","terms":"net_45","po_number":"PO-2026-0017","processed":true,"discount_code":null,"tags":["high_value","high_value","high_value","high_value"]}
18,3577003.59000000,{"payment_method":"sepa","terms":"net_45","po_number":"PO-2026-0018","processed":false,"discount_code":null,"tags":["high_value","high_value","high_value","high_value"]}
19,1175424.75000000,{"payment_method":"ach","terms":"immediate","po_number":"PO-2026-0019","processed":true,"discount_code":null,"tags":["high_value","high_value","high_value","high_value"]}
20,1201859.56000000,{"payment_method":"ach","terms":"net_30","po_number":"PO-2026-0020","processed":true,"discount_code":null,"tags":["high_value","high_value","high_value","high_value"]}
