=== OP 34 ===
STATUS: PASS  exit=0  elapsed=0.13s  rows=50

--- STDERR ---


--- STDOUT (tail) ---
3249,1154933.62000000
261,1511559.80000000
1257,1265151.72000000
3581,1135781.81000000
1589,1824398.53000000
3178,154865.63950000
925,1258490.77000000
4506,51403.99000000
2585,1002848.71000000
238,21299.90000000
1234,950651.82000000
4529,229829.94000000
1898,16055.99000000
2230,320059.96000000
3865,3077611.66000000
4197,133881.86000000
2894,2297009.70000000
3226,212354.55000000
23,472432.87000000
1211,1487474.55000000
879,1317609.51000000
1374,396377.91000000
2136,2827665.54000000
1875,852553.59000000
378,3494973.62000000
1804,2025564.63000000
2800,1447192.83000000
4792,450781.91100000
1042,231648.89000000
547,118655.82000000
2539,2090013.66000000
733,82319.99000000
2491,209419.63000000
401,146756.97000000
3487,569648.53750000
192,3170690.57000000
3819,717599.61000000
2159,2029919.76000000
2061,2287689.66000000
501,68079.63000000
756,152909.91000000
3750,1887626.79000000
3009,184291.98000000
2748,1563191.82000000
1758,164794.77000000
4984,265733.81000000
1781,782414.91000000
2107,1413950.67000000
4978,1510143.84000000
2445,813299.75000000

(50 rows affected)

