=== OP 21 ===
STATUS: PASS  exit=0  elapsed=0.09s  rows=10

--- STDERR ---


--- STDOUT (tail) ---
Analytics,102,5251980.9800,3151188.5880
Cloud,89,4442523.1100,2665513.8660
Development,105,5359772.9500,3215863.7700
Hardware,118,5796803.8200,3478082.2920
Infrastructure,99,4297242.0100,2578345.2060
Monitoring,112,5185457.8800,3111274.7280
Security,102,4603883.9800,2762330.3880
Services,93,4650717.0700,2790430.2420
Software,87,4307889.1300,2575002.6840
Storage,94,4455884.0600,2673530.4360

(10 rows affected)

