1,3289,2438,719,16,34359.9900,0.0000,549759.84000000,2026-08-12 20:04:33.798124,POINT (36.35 -28.95),"{""payment_method"":""crypto"",""terms"":""immediate"",""po_number"":""PO-2026-0001"",""processed"":false,""discount_code"":null,""tags"":[""high_value""]}",pending,2026-08-12 20:11:23.339110,9999-12-31 23:59:59.999999
2,1369,4183,460,18,98161.9900,0.0000,1766915.82000000,2026-08-12 20:04:33.806299,POINT (-123.17 45.06),"{""payment_method"":""sepa"",""terms"":""immediate"",""po_number"":""PO-2026-0002"",""processed"":true,""discount_code"":null,""tags"":[""high_value""]}",disputed,2026-08-12 20:11:23.339110,9999-12-31 23:59:59.999999
3,2745,9387,918,4,36310.9900,0.0000,145243.96000000,2026-08-12 20:04:33.814443,POINT (88.51 43.21),"{""payment_method"":""sepa"",""terms"":""immediate"",""po_number"":""PO-2026-0003"",""processed"":false,""discount_code"":null,""tags"":[""high_value""]}",completed,2026-08-12 20:11:23.339110,9999-12-31 23:59:59.999999
4,4555,9725,861,47,84540.9900,0.0000,3973426.53000000,2026-08-12 20:04:33.818519,POINT (168.31 69.79),"{""payment_method"":""crypto"",""terms"":""net_30"",""po_number"":""PO-2026-0004"",""processed"":false,""discount_code"":null,""tags"":[""high_value""]}",pending,2026-08-12 20:11:23.339110,9999-12-31 23:59:59.999999
5,1753,5407,767,11,81440.9900,0.0000,895850.89000000,2026-08-12 20:04:33.826665,POINT (-24.58 -21.33),"{""payment_method"":""ach"",""terms"":""net_60"",""po_number"":""PO-2026-0005"",""processed"":false,""discount_code"":null,""tags"":[""high_value""]}",pending,2026-08-12 20:11:23.339110,9999-12-31 23:59:59.999999
6,1474,3003,268,24,90245.9900,0.0000,2165903.76000000,2026-08-12 20:04:33.830745,POINT (69.46 -83.38),"{""payment_method"":""crypto"",""terms"":""net_30"",""po_number"":""PO-2026-0006"",""processed"":false,""discount_code"":null,""tags"":[""high_value""]}",pending,2026-08-12 20:11:23.339110,9999-12-31 23:59:59.999999
7,541,2826,750,7,48037.9900,0.0000,336265.93000000,2026-08-12 20:04:33.838888,POINT (-158.3 1.02),"{""payment_method"":""credit_card"",""terms"":""net_60"",""po_number"":""PO-2026-0007"",""processed"":true,""discount_code"":null,""tags"":[""high_value""]}",refunded,2026-08-12 20:11:23.339110,9999-12-31 23:59:59.999999
8,3581,1312,173,40,43194.9900,0.0000,1727799.60000000,2026-08-12 20:04:33.842959,POINT (97.48 86),"{""payment_method"":""crypto"",""terms"":""net_30"",""po_number"":""PO-2026-0008"",""processed"":false,""discount_code"":null,""tags"":[""high_value""]}",pending,2026-08-12 20:11:23.339110,9999-12-31 23:59:59.999999
9,817,4296,758,19,76775.9900,0.0000,1458743.81000000,2026-08-12 20:04:33.851101,POINT (-45.53 -65.22),"{""payment_method"":""wire_transfer"",""terms"":""net_60"",""po_number"":""PO-2026-0009"",""processed"":false,""discount_code"":null,""tags"":[""high_value""]}",pending,2026-08-12 20:11:23.339110,9999-12-31 23:59:59.999999
10,2581,1992,852,15,53011.9900,0.0000,795179.85000000,2026-08-12 20:04:33.855173,POINT (112.68 -25.45),"{""payment_method"":""crypto"",""terms"":""net_30"",""po_number"":""PO-2026-0010"",""processed"":true,""discount_code"":null,""tags"":[""high_value""]}",refunded,2026-08-12 20:11:23.339110,9999-12-31 23:59:59.999999
