544,LookupData_544_793382372,A,2026-08-12 20:04:58.585837
545,LookupData_545_1881574563,C,2026-08-12 20:04:58.585837
546,LookupData_546_177501264,C,2026-08-12 20:04:58.589905
547,LookupData_547_1100807302,D,2026-08-12 20:04:58.589905
548,LookupData_548_142447102,E,2026-08-12 20:04:58.589905
549,LookupData_549_1496851799,B,2026-08-12 20:04:58.593978
550,LookupData_550_1024402520,C,2026-08-12 20:04:58.593978
551,LookupData_551_556507093,B,2026-08-12 20:04:58.593978
552,LookupData_552_1133298166,D,2026-08-12 20:04:58.598056
553,LookupData_553_1248666323,D,2026-08-12 20:04:58.598056
554,LookupData_554_1944462072,A,2026-08-12 20:04:58.598056
555,LookupData_555_756478078,D,2026-08-12 20:04:58.602155
556,LookupData_556_317783032,C,2026-08-12 20:04:58.602155
557,LookupData_557_1445317574,D,2026-08-12 20:04:58.602155
558,LookupData_558_2076021835,E,2026-08-12 20:04:58.606238
559,LookupData_559_472747441,C,2026-08-12 20:04:58.606238
560,LookupData_560_1374874158,B,2026-08-12 20:04:58.606238
561,LookupData_561_2050174837,C,2026-08-12 20:04:58.606238
562,LookupData_562_1746286221,A,2026-08-12 20:04:58.610312
563,LookupData_563_1864008388,D,2026-08-12 20:04:58.610312
564,LookupData_564_386623555,D,2026-08-12 20:04:58.610312
565,LookupData_565_1203289116,B,2026-08-12 20:04:58.614391
566,LookupData_566_724536017,E,2026-08-12 20:04:58.614391
567,LookupData_567_61352212,C,2026-08-12 20:04:58.614391
568,LookupData_568_1137192883,E,2026-08-12 20:04:58.618474
569,LookupData_569_1318302965,A,2026-08-12 20:04:58.618474
570,LookupData_570_1427308354,B,2026-08-12 20:04:58.618474
571,LookupData_571_828944220,D,2026-08-12 20:04:58.618474
572,LookupData_572_702481976,D,2026-08-12 20:04:58.622556
573,LookupData_573_828140168,A,2026-08-12 20:04:58.622556
574,LookupData_574_145742132,B,2026-08-12 20:04:58.622556
575,LookupData_575_683421269,E,2026-08-12 20:04:58.626639
576,LookupData_576_119896526,A,2026-08-12 20:04:58.626639
577,LookupData_577_1366781886,E,2026-08-12 20:04:58.626639
578,LookupData_578_961342002,A,2026-08-12 20:04:58.630725
579,LookupData_579_2122954746,E,2026-08-12 20:04:58.630725
580,LookupData_580_1887743104,C,2026-08-12 20:04:58.630725
581,LookupData_581_1391992216,A,2026-08-12 20:04:58.630725
582,LookupData_582_661768510,E,2026-08-12 20:04:58.634867
583,LookupData_583_55702892,D,2026-08-12 20:04:58.634867
584,LookupData_584_133855546,C,2026-08-12 20:04:58.634867
585,LookupData_585_1655988343,E,2026-08-12 20:04:58.638943
586,LookupData_586_2096610882,C,2026-08-12 20:04:58.638943
587,LookupData_587_663689589,E,2026-08-12 20:04:58.638943
588,LookupData_588_1623675873,D,2026-08-12 20:04:58.643022
589,LookupData_589_522200120,B,2026-08-12 20:04:58.643022
590,LookupData_590_615344149,D,2026-08-12 20:04:58.643022
591,LookupData_591_1940523793,A,2026-08-12 20:04:58.643022
592,LookupData_592_458144107,D,2026-08-12 20:04:58.647100
593,LookupData_593_92515740,B,2026-08-12 20:04:58.647100
594,LookupData_594_1141961164,A,2026-08-12 20:04:58.647100
595,LookupData_595_591174374,E,2026-08-12 20:04:58.651177
596,LookupData_596_1131194234,E,2026-08-12 20:04:58.651177
597,LookupData_597_336328866,B,2026-08-12 20:04:58.651177
598,LookupData_598_1917959584,D,2026-08-12 20:04:58.655256
599,LookupData_599_1713314781,B,2026-08-12 20:04:58.655256
600,LookupData_600_478782619,B,2026-08-12 20:04:58.655256
