1,Quantum Database Server Enterprise v2,Infrastructure,Starter,54999.9900,2181.5940,"Specs: Cores=118, RAM=504GB",Quantum Database Server Enterprise v2 Infrastructure Starter,886,32,0,2026-08-12 20:04:32.414884
2,Pro Services Solution 2,Services,Pro,61223.9900,36734.3940,"Specs: Cores=40, RAM=274GB",Pro Services Solution 2 Services Pro,974,44,0,2026-08-12 20:04:32.414884
3,Enterprise Security Solution 3,Security,Enterprise,89061.9900,53437.1940,"Specs: Cores=66, RAM=26GB",Enterprise Security Solution 3 Security Enterprise,134,24,0,2026-08-12 20:04:32.414884
4,Lite Cloud Solution 4,Cloud,Lite,59389.9900,35633.9940,"Specs: Cores=12, RAM=174GB",Lite Cloud Solution 4 Cloud Lite,16,30,0,2026-08-12 20:04:32.418957
5,Professional Software Solution 5,Software,Professional,42452.9900,25471.7940,"Specs: Cores=102, RAM=359GB",Professional Software Solution 5 Software Professional,910,27,0,2026-08-12 20:04:32.418957
6,Pro Development Solution 6,Development,Pro,41583.9900,24950.3940,"Specs: Cores=67, RAM=376GB",Pro Development Solution 6 Development Pro,653,24,0,2026-08-12 20:04:32.418957
7,Professional Monitoring Solution 7,Monitoring,Professional,44597.9900,26758.7940,"Specs: Cores=102, RAM=159GB",Professional Monitoring Solution 7 Monitoring Professional,256,41,0,2026-08-12 20:04:32.423033
8,Professional Software Solution 8,Software,Professional,70399.9900,42239.9940,"Specs: Cores=108, RAM=176GB",Professional Software Solution 8 Software Professional,987,21,0,2026-08-12 20:04:32.423033
9,Lite Services Solution 9,Services,Lite,56679.9900,34007.9940,"Specs: Cores=118, RAM=94GB",Lite Services Solution 9 Services Lite,186,19,0,2026-08-12 20:04:32.423033
10,Lite Analytics Solution 10,Analytics,Lite,46971.9900,28183.1940,"Specs: Cores=57, RAM=21GB",Lite Analytics Solution 10 Analytics Lite,318,45,0,2026-08-12 20:04:32.427108
11,Advanced Services Solution 11,Services,Advanced,90441.9900,54265.1940,"Specs: Cores=115, RAM=41GB",Advanced Services Solution 11 Services Advanced,518,43,0,2026-08-12 20:04:32.427108
12,Lite Analytics Solution 12,Analytics,Lite,41813.9900,25088.3940,"Specs: Cores=9, RAM=139GB",Lite Analytics Solution 12 Analytics Lite,355,49,0,2026-08-12 20:04:32.427108
13,Ultimate Hardware Solution 13,Hardware,Ultimate,63202.9900,37921.7940,"Specs: Cores=73, RAM=302GB",Ultimate Hardware Solution 13 Hardware Ultimate,74,45,0,2026-08-12 20:04:32.431188
14,Professional Cloud Solution 14,Cloud,Professional,20952.9900,12571.7940,"Specs: Cores=0, RAM=306GB",Professional Cloud Solution 14 Cloud Professional,382,37,0,2026-08-12 20:04:32.431188
15,Enterprise Software Solution 15,Software,Enterprise,87604.9900,52562.9940,"Specs: Cores=53, RAM=109GB",Enterprise Software Solution 15 Software Enterprise,651,46,0,2026-08-12 20:04:32.431188
16,Standard Software Solution 16,Software,Standard,14584.9900,8750.9940,"Specs: Cores=90, RAM=51GB",Standard Software Solution 16 Software Standard,865,55,0,2026-08-12 20:04:32.431188
17,Professional Hardware Solution 17,Hardware,Professional,83545.9900,50127.5940,"Specs: Cores=3, RAM=430GB",Professional Hardware Solution 17 Hardware Professional,371,18,0,2026-08-12 20:04:32.435269
18,Ultimate Services Solution 18,Services,Ultimate,93248.9900,55949.3940,"Specs: Cores=91, RAM=305GB",Ultimate Services Solution 18 Services Ultimate,375,51,0,2026-08-12 20:04:32.435269
19,Starter Infrastructure Solution 19,Infrastructure,Starter,41564.9900,24938.9940,"Specs: Cores=106, RAM=196GB",Starter Infrastructure Solution 19 Infrastructure Starter,694,11,0,2026-08-12 20:04:32.435269
20,Professional Development Solution 20,Development,Professional,6162.9900,3697.7940,"Specs: Cores=53, RAM=417GB",Professional Development Solution 20 Development Professional,892,53,0,2026-08-12 20:04:32.439341
21,Enterprise Storage Solution 21,Storage,Enterprise,31725.9900,19035.5940,"Specs: Cores=35, RAM=343GB",Enterprise Storage Solution 21 Storage Enterprise,632,50,0,2026-08-12 20:04:32.439341
22,Ultimate Analytics Solution 22,Analytics,Ultimate,56850.9900,34110.5940,"Specs: Cores=55, RAM=117GB",Ultimate Analytics Solution 22 Analytics Ultimate,961,47,0,2026-08-12 20:04:32.439341
23,Standard Hardware Solution 23,Hardware,Standard,12011.9900,7207.1940,"Specs: Cores=64, RAM=125GB",Standard Hardware Solution 23 Hardware Standard,502,41,0,2026-08-12 20:04:32.443422
24,Ultimate Analytics Solution 24,Analytics,Ultimate,47215.9900,28329.5940,"Specs: Cores=33, RAM=344GB",Ultimate Analytics Solution 24 Analytics Ultimate,945,35,0,2026-08-12 20:04:32.443422
25,Advanced Development Solution 25,Development,Advanced,60931.9900,36559.1940,"Specs: Cores=76, RAM=279GB",Advanced Development Solution 25 Development Advanced,852,59,0,2026-08-12 20:04:32.443422
26,Starter Cloud Solution 26,Cloud,Starter,29171.9900,17503.1940,"Specs: Cores=30, RAM=451GB",Starter Cloud Solution 26 Cloud Starter,787,13,0,2026-08-12 20:04:32.447491
27,Professional Services Solution 27,Services,Professional,3298.9900,1979.3940,"Specs: Cores=95, RAM=330GB",Professional Services Solution 27 Services Professional,869,23,0,2026-08-12 20:04:32.447491
28,Ultimate Software Solution 28,Software,Ultimate,96716.9900,58030.1940,"Specs: Cores=6, RAM=40GB",Ultimate Software Solution 28 Software Ultimate,166,15,0,2026-08-12 20:04:32.447491
29,Standard Cloud Solution 29,Cloud,Standard,7878.9900,4727.3940,"Specs: Cores=72, RAM=129GB",Standard Cloud Solution 29 Cloud Standard,877,50,0,2026-08-12 20:04:32.451565
30,Advanced Storage Solution 30,Storage,Advanced,48644.9900,29186.9940,"Specs: Cores=106, RAM=121GB",Advanced Storage Solution 30 Storage Advanced,137,45,0,2026-08-12 20:04:32.451565
31,Pro Infrastructure Solution 31,Infrastructure,Pro,90981.9900,54589.1940,"Specs: Cores=18, RAM=164GB",Pro Infrastructure Solution 31 Infrastructure Pro,570,12,0,2026-08-12 20:04:32.455644
32,Lite Infrastructure Solution 32,Infrastructure,Lite,97688.9900,58613.3940,"Specs: Cores=121, RAM=207GB",Lite Infrastructure Solution 32 Infrastructure Lite,43,11,0,2026-08-12 20:04:32.455644
33,Premium Storage Solution 33,Storage,Premium,9136.9900,5482.1940,"Specs: Cores=50, RAM=264GB",Premium Storage Solution 33 Storage Premium,511,59,0,2026-08-12 20:04:32.455644
34,Premium Analytics Solution 34,Analytics,Premium,32734.9900,19640.9940,"Specs: Cores=57, RAM=23GB",Premium Analytics Solution 34 Analytics Premium,992,26,0,2026-08-12 20:04:32.459728
35,Pro Development Solution 35,Development,Pro,13691.9900,8215.1940,"Specs: Cores=106, RAM=282GB",Pro Development Solution 35 Development Pro,610,13,0,2026-08-12 20:04:32.459728
36,Premium Cloud Solution 36,Cloud,Premium,47980.9900,28788.5940,"Specs: Cores=40, RAM=510GB",Premium Cloud Solution 36 Cloud Premium,533,48,0,2026-08-12 20:04:32.463852
37,Advanced Analytics Solution 37,Analytics,Advanced,4160.9900,2496.5940,"Specs: Cores=48, RAM=166GB",Advanced Analytics Solution 37 Analytics Advanced,970,40,0,2026-08-12 20:04:32.463852
38,Starter Infrastructure Solution 38,Infrastructure,Starter,74153.9900,44492.3940,"Specs: Cores=64, RAM=259GB",Starter Infrastructure Solution 38 Infrastructure Starter,654,34,0,2026-08-12 20:04:32.467927
39,Basic Services Solution 39,Services,Basic,36868.9900,22121.3940,"Specs: Cores=118, RAM=327GB",Basic Services Solution 39 Services Basic,500,44,0,2026-08-12 20:04:32.467927
40,Basic Software Solution 40,Software,Basic,94993.9900,56996.3940,"Specs: Cores=10, RAM=56GB",Basic Software Solution 40 Software Basic,418,27,0,2026-08-12 20:04:32.472009
41,Professional Software Solution 41,Software,Professional,75812.9900,45487.7940,"Specs: Cores=51, RAM=161GB",Professional Software Solution 41 Software Professional,841,18,0,2026-08-12 20:04:32.472009
42,Lite Development Solution 42,Development,Lite,95767.9900,57460.7940,"Specs: Cores=100, RAM=271GB",Lite Development Solution 42 Development Lite,462,24,0,2026-08-12 20:04:32.472009
43,Enterprise Cloud Solution 43,Cloud,Enterprise,57373.9900,34424.3940,"Specs: Cores=83, RAM=502GB",Enterprise Cloud Solution 43 Cloud Enterprise,900,41,0,2026-08-12 20:04:32.476093
44,Ultimate Development Solution 44,Development,Ultimate,15801.9900,9481.1940,"Specs: Cores=51, RAM=404GB",Ultimate Development Solution 44 Development Ultimate,923,20,0,2026-08-12 20:04:32.476093
45,Enterprise Infrastructure Solution 45,Infrastructure,Enterprise,50759.9900,30455.9940,"Specs: Cores=8, RAM=489GB",Enterprise Infrastructure Solution 45 Infrastructure Enterprise,580,38,0,2026-08-12 20:04:32.480177
46,Advanced Cloud Solution 46,Cloud,Advanced,38428.9900,23057.3940,"Specs: Cores=39, RAM=506GB",Advanced Cloud Solution 46 Cloud Advanced,321,47,0,2026-08-12 20:04:32.480177
47,Standard Infrastructure Solution 47,Infrastructure,Standard,79863.9900,47918.3940,"Specs: Cores=22, RAM=511GB",Standard Infrastructure Solution 47 Infrastructure Standard,829,30,0,2026-08-12 20:04:32.480177
48,Standard Monitoring Solution 48,Monitoring,Standard,11785.9900,7071.5940,"Specs: Cores=64, RAM=47GB",Standard Monitoring Solution 48 Monitoring Standard,736,55,0,2026-08-12 20:04:32.484256
49,Basic Storage Solution 49,Storage,Basic,98484.9900,59090.9940,"Specs: Cores=18, RAM=123GB",Basic Storage Solution 49 Storage Basic,742,32,0,2026-08-12 20:04:32.484256
50,Professional Cloud Solution 50,Cloud,Professional,78319.9900,46991.9940,"Specs: Cores=1, RAM=234GB",Professional Cloud Solution 50 Cloud Professional,231,50,0,2026-08-12 20:04:32.488329
51,Ultimate Development Solution 51,Development,Ultimate,32055.9900,19233.5940,"Specs: Cores=75, RAM=449GB",Ultimate Development Solution 51 Development Ultimate,307,49,0,2026-08-12 20:04:32.488329
52,Pro Software Solution 52,Software,Pro,86731.9900,52039.1940,"Specs: Cores=62, RAM=478GB",Pro Software Solution 52 Software Pro,888,53,0,2026-08-12 20:04:32.488329
