1,2025,10,12,62399.00,9519,466,LATAM,2026-08-12
2,2021,7,3,92275.00,7858,63,APAC,2026-08-12
3,2024,2,14,37217.00,4580,880,NA,2026-08-12
4,2024,8,2,64964.00,6804,658,APAC,2026-08-12
5,2025,10,1,26650.00,9743,165,APAC,2026-08-12
6,2021,1,10,51018.00,5430,87,APAC,2026-08-12
7,2022,12,20,7150.00,7298,111,EU,2026-08-12
8,2022,1,25,6537.00,6655,3,APAC,2026-08-12
9,2024,12,8,73108.00,3565,334,MEA,2026-08-12
10,2023,8,19,83649.00,6049,972,LATAM,2026-08-12
11,2025,1,21,68529.00,8901,262,MEA,2026-08-12
12,2020,9,26,69201.00,3878,147,APAC,2026-08-12
13,2021,4,8,36078.00,7042,937,APAC,2026-08-12
14,2021,11,8,35566.00,6903,566,MEA,2026-08-12
15,2022,5,10,1264.00,5927,530,APAC,2026-08-12
16,2025,3,7,70149.00,6534,856,APAC,2026-08-12
17,2020,6,9,14272.00,2929,540,EU,2026-08-12
18,2020,8,1,26216.00,3231,359,EU,2026-08-12
19,2021,1,3,11101.00,3075,231,NA,2026-08-12
20,2023,10,28,65975.00,6927,343,NA,2026-08-12
21,2024,5,17,4091.00,3182,740,MEA,2026-08-12
22,2025,10,18,69426.00,6734,837,NA,2026-08-12
23,2021,6,21,61483.00,6965,177,EU,2026-08-12
24,2021,4,16,76815.00,8923,150,NA,2026-08-12
25,2020,4,1,13070.00,8737,614,NA,2026-08-12
26,2024,9,15,17431.00,2300,522,APAC,2026-08-12
27,2025,4,21,30321.00,3161,618,MEA,2026-08-12
28,2020,5,13,91520.00,1072,37,NA,2026-08-12
29,2022,1,10,47977.00,7094,151,APAC,2026-08-12
30,2022,9,26,88706.00,5862,28,EU,2026-08-12
31,2021,11,13,81658.00,6781,924,EU,2026-08-12
32,2022,11,14,55344.00,7861,604,NA,2026-08-12
33,2024,2,19,20285.00,3594,1,APAC,2026-08-12
34,2024,11,1,31396.00,9648,474,EU,2026-08-12
35,2023,1,13,32599.00,7278,525,APAC,2026-08-12
36,2024,11,18,41990.00,8581,680,NA,2026-08-12
37,2024,7,12,17085.00,1939,320,NA,2026-08-12
38,2022,1,22,13435.00,3859,218,NA,2026-08-12
39,2022,3,2,24250.00,3032,424,MEA,2026-08-12
40,2020,11,1,78123.00,4036,383,EU,2026-08-12
41,2025,4,26,96559.00,3512,501,APAC,2026-08-12
42,2025,10,21,39361.00,9871,974,MEA,2026-08-12
43,2023,9,13,49600.00,9510,520,MEA,2026-08-12
44,2025,3,5,22658.00,1688,974,LATAM,2026-08-12
45,2025,5,8,87949.00,4570,979,MEA,2026-08-12
46,2023,8,25,97688.00,5194,708,EU,2026-08-12
47,2023,12,13,8941.00,9947,827,LATAM,2026-08-12
48,2023,7,4,4538.00,3501,172,MEA,2026-08-12
49,2023,9,4,92247.00,6672,433,APAC,2026-08-12
50,2025,7,1,19423.00,4621,434,APAC,2026-08-12
51,2025,9,6,2274.00,6291,441,NA,2026-08-12
52,2020,9,22,14021.00,2633,967,NA,2026-08-12
53,2022,5,13,8559.00,6878,561,EU,2026-08-12
54,2024,12,26,51418.00,6117,949,MEA,2026-08-12
55,2021,8,15,68493.00,5842,696,LATAM,2026-08-12
56,2025,5,8,65281.00,7334,859,MEA,2026-08-12
57,2024,2,22,69408.00,8641,263,APAC,2026-08-12
58,2025,9,18,47291.00,3234,261,APAC,2026-08-12
59,2025,9,17,83149.00,3472,545,LATAM,2026-08-12
60,2023,10,27,14277.00,4838,56,EU,2026-08-12
61,2022,2,3,36515.00,4487,789,EU,2026-08-12
62,2023,6,6,46054.00,1167,99,EU,2026-08-12
63,2023,4,27,25074.00,3833,862,MEA,2026-08-12
64,2024,5,21,92672.00,3195,361,LATAM,2026-08-12
65,2021,3,5,15121.00,5506,489,NA,2026-08-12
66,2020,1,22,21382.00,9888,815,NA,2026-08-12
67,2021,5,6,83407.00,8438,169,LATAM,2026-08-12
68,2023,7,16,83466.00,9948,322,LATAM,2026-08-12
69,2023,9,10,38897.00,9902,435,LATAM,2026-08-12
70,2020,11,9,84312.00,4410,467,MEA,2026-08-12
71,2023,3,12,70262.00,1378,203,APAC,2026-08-12
72,2023,7,1,10810.00,2023,718,EU,2026-08-12
73,2024,11,20,94799.00,5925,891,EU,2026-08-12
74,2023,2,27,97947.00,5046,794,LATAM,2026-08-12
75,2024,4,13,63025.00,4097,498,APAC,2026-08-12
76,2023,10,24,51601.00,6696,266,MEA,2026-08-12
77,2021,7,22,14315.00,9015,202,LATAM,2026-08-12
78,2024,10,6,10350.00,4127,459,EU,2026-08-12
79,2025,8,10,3803.00,8696,200,NA,2026-08-12
80,2021,9,27,4519.00,1991,981,NA,2026-08-12
81,2025,9,8,57533.00,4248,108,APAC,2026-08-12
82,2023,9,1,86231.00,5672,692,LATAM,2026-08-12
83,2024,3,18,94309.00,5631,799,EU,2026-08-12
84,2025,4,15,16397.00,9149,284,LATAM,2026-08-12
85,2024,12,15,90395.00,5406,41,NA,2026-08-12
86,2021,2,17,69368.00,7734,633,MEA,2026-08-12
87,2021,7,10,32073.00,1133,2,LATAM,2026-08-12
88,2023,3,19,13418.00,2350,765,NA,2026-08-12
89,2022,8,13,83289.00,2386,524,LATAM,2026-08-12
90,2020,10,22,72512.00,1479,561,APAC,2026-08-12
91,2025,2,5,20190.00,8950,974,MEA,2026-08-12
92,2022,12,2,11943.00,7458,249,MEA,2026-08-12
93,2020,1,6,63241.00,6911,12,LATAM,2026-08-12
94,2021,4,17,40017.00,8314,722,APAC,2026-08-12
95,2025,11,25,89124.00,5774,373,EU,2026-08-12
96,2025,10,10,38919.00,6205,965,MEA,2026-08-12
97,2023,6,2,9187.00,2056,104,MEA,2026-08-12
98,2025,12,5,25183.00,4903,949,LATAM,2026-08-12
99,2024,6,12,68502.00,3918,903,EU,2026-08-12
100,2021,3,11,17102.00,8328,936,NA,2026-08-12
101,2022,11,25,49144.00,8457,70,APAC,2026-08-12
102,2020,3,11,56127.00,7340,520,EU,2026-08-12
103,2023,5,5,2300.00,1909,211,EU,2026-08-12
104,2025,12,6,64686.00,7581,912,NA,2026-08-12
105,2020,10,6,60461.00,5705,506,EU,2026-08-12
106,2021,12,3,9951.00,7636,153,NA,2026-08-12
107,2021,4,24,85288.00,8274,860,MEA,2026-08-12
108,2023,2,4,71264.00,1891,96,LATAM,2026-08-12
109,2024,12,6,841.00,1819,65,LATAM,2026-08-12
110,2024,3,19,62254.00,8281,91,MEA,2026-08-12
111,2020,6,6,11364.00,9747,466,MEA,2026-08-12
112,2022,8,14,39743.00,2942,481,MEA,2026-08-12
113,2020,9,18,76449.00,9619,910,LATAM,2026-08-12
114,2020,9,25,20167.00,8276,582,APAC,2026-08-12
115,2023,4,6,33797.00,3997,836,APAC,2026-08-12
116,2024,8,7,76671.00,1345,495,EU,2026-08-12
117,2025,11,26,80683.00,2363,356,APAC,2026-08-12
118,2020,2,6,28363.00,2607,411,MEA,2026-08-12
119,2024,10,15,72920.00,3963,705,MEA,2026-08-12
120,2024,1,2,57575.00,8780,536,EU,2026-08-12
121,2022,9,9,51033.00,8653,544,LATAM,2026-08-12
122,2024,8,28,94245.00,8319,226,APAC,2026-08-12
123,2022,3,27,67104.00,6664,361,LATAM,2026-08-12
124,2024,6,1,11721.00,5600,180,MEA,2026-08-12
125,2023,8,10,13588.00,2100,59,EU,2026-08-12
126,2024,7,15,48115.00,4427,448,NA,2026-08-12
127,2024,1,22,66278.00,4137,975,EU,2026-08-12
128,2024,3,18,66075.00,1034,107,NA,2026-08-12
129,2023,6,11,66506.00,3134,609,NA,2026-08-12
130,2024,4,4,24082.00,4234,285,APAC,2026-08-12
131,2020,4,11,59583.00,6734,559,APAC,2026-08-12
132,2022,2,23,20225.00,4769,358,NA,2026-08-12
133,2020,1,26,64441.00,5101,814,LATAM,2026-08-12
134,2020,10,28,12102.00,9034,976,APAC,2026-08-12
135,2022,5,12,13851.00,6947,508,APAC,2026-08-12
136,2023,5,25,21091.00,2407,851,EU,2026-08-12
137,2023,1,4,19574.00,3075,680,MEA,2026-08-12
138,2022,2,19,1193.00,4327,812,LATAM,2026-08-12
139,2024,10,18,48439.00,6072,626,LATAM,2026-08-12
140,2024,7,22,83131.00,6557,477,NA,2026-08-12
141,2020,1,26,35025.00,4076,761,APAC,2026-08-12
142,2020,9,24,82334.00,6948,992,APAC,2026-08-12
143,2022,7,4,59398.00,7949,43,MEA,2026-08-12
144,2021,5,2,73394.00,9853,94,EU,2026-08-12
145,2022,9,16,35283.00,2374,466,NA,2026-08-12
