1,3289,719,16,34359.9900,0.0000,549759.84000000,2026-08-12 20:04:33.798124,POINT (36.35 -28.95),"{""payment_method"":""crypto"",""terms"":""immediate"",""po_number"":""PO-2026-0001"",""processed"":false,""discount_code"":null,""tags"":[""high_value""]}",pending
2,1369,460,18,98161.9900,0.0000,1766915.82000000,2026-08-12 20:04:33.806299,POINT (-123.17 45.06),"{""payment_method"":""sepa"",""terms"":""immediate"",""po_number"":""PO-2026-0002"",""processed"":true,""discount_code"":null,""tags"":[""high_value""]}",disputed
3,2745,918,4,36310.9900,0.0000,145243.96000000,2026-08-12 20:04:33.814443,POINT (88.51 43.21),"{""payment_method"":""sepa"",""terms"":""immediate"",""po_number"":""PO-2026-0003"",""processed"":false,""discount_code"":null,""tags"":[""high_value""]}",completed
4,4555,861,47,84540.9900,0.0000,3973426.53000000,2026-08-12 20:04:33.818519,POINT (168.31 69.79),"{""payment_method"":""crypto"",""terms"":""net_30"",""po_number"":""PO-2026-0004"",""processed"":false,""discount_code"":null,""tags"":[""high_value""]}",pending
5,1753,767,11,81440.9900,0.0000,895850.89000000,2026-08-12 20:04:33.826665,POINT (-24.58 -21.33),"{""payment_method"":""ach"",""terms"":""net_60"",""po_number"":""PO-2026-0005"",""processed"":false,""discount_code"":null,""tags"":[""high_value""]}",pending
6,1474,268,24,90245.9900,0.0000,2165903.76000000,2026-08-12 20:04:33.830745,POINT (69.46 -83.38),"{""payment_method"":""crypto"",""terms"":""net_30"",""po_number"":""PO-2026-0006"",""processed"":false,""discount_code"":null,""tags"":[""high_value""]}",pending
7,541,750,7,48037.9900,0.0000,336265.93000000,2026-08-12 20:04:33.838888,POINT (-158.3 1.02),"{""payment_method"":""credit_card"",""terms"":""net_60"",""po_number"":""PO-2026-0007"",""processed"":true,""discount_code"":null,""tags"":[""high_value""]}",refunded
8,3581,173,40,43194.9900,0.0000,1727799.60000000,2026-08-12 20:04:33.842959,POINT (97.48 86),"{""payment_method"":""crypto"",""terms"":""net_30"",""po_number"":""PO-2026-0008"",""processed"":false,""discount_code"":null,""tags"":[""high_value""]}",pending
9,817,758,19,76775.9900,0.0000,1458743.81000000,2026-08-12 20:04:33.851101,POINT (-45.53 -65.22),"{""payment_method"":""wire_transfer"",""terms"":""net_60"",""po_number"":""PO-2026-0009"",""processed"":false,""discount_code"":null,""tags"":[""high_value""]}",pending
10,2581,852,15,53011.9900,0.0000,795179.85000000,2026-08-12 20:04:33.855173,POINT (112.68 -25.45),"{""payment_method"":""crypto"",""terms"":""net_30"",""po_number"":""PO-2026-0010"",""processed"":true,""discount_code"":null,""tags"":[""high_value""]}",refunded
11,3042,478,47,83976.9900,0.0000,3946918.53000000,2026-08-12 20:04:33.863322,POINT (-80.23 -59.5),"{""payment_method"":""credit_card"",""terms"":""net_30"",""po_number"":""PO-2026-0011"",""processed"":true,""discount_code"":null,""tags"":[""high_value""]}",pending
12,4045,908,42,53802.9900,0.0000,2259725.58000000,2026-08-12 20:04:33.867394,POINT (110 -59.86),"{""payment_method"":""credit_card"",""terms"":""immediate"",""po_number"":""PO-2026-0012"",""processed"":false,""discount_code"":null,""tags"":[""high_value""]}",refunded
13,1851,794,2,32976.9900,0.1500,56060.88300000,2026-08-12 20:04:33.875537,POINT (-41.58 62.1),"{""payment_method"":""crypto"",""terms"":""net_60"",""po_number"":""PO-2026-0013"",""processed"":false,""discount_code"":""SAVE15"",""tags"":[""high_value""]}",refunded
14,183,678,6,5998.9900,0.0000,35993.94000000,2026-08-12 20:04:33.883695,POINT (121.99 43.08),"{""payment_method"":""wire_transfer"",""terms"":""net_30"",""po_number"":""PO-2026-0014"",""processed"":true,""discount_code"":null}",pending
15,1326,477,19,58266.9900,0.0000,1107072.81000000,2026-08-12 20:04:33.887781,POINT (-120.58 -7.07),"{""payment_method"":""crypto"",""terms"":""net_45"",""po_number"":""PO-2026-0015"",""processed"":true,""discount_code"":null,""tags"":[""high_value""]}",refunded
16,2806,953,17,38431.9900,0.0000,653343.83000000,2026-08-12 20:04:33.895925,POINT (160.4 -35.6),"{""payment_method"":""crypto"",""terms"":""immediate"",""po_number"":""PO-2026-0016"",""processed"":true,""discount_code"":null,""tags"":[""high_value""]}",pending
17,2787,28,1,96716.9900,0.0000,96716.99000000,2026-08-12 20:04:33.904091,POINT (-9.89 3.04),"{""payment_method"":""ach"",""terms"":""immediate"",""po_number"":""PO-2026-0017"",""processed"":false,""discount_code"":null,""tags"":[""high_value""]}",pending
