1,EXT-1,Imported Product 1,Software,8609.9900,U,0,2026-08-12 20:05:08.216634
2,EXT-2,Imported Product 2,Services,7442.9900,D,0,2026-08-12 20:05:08.216634
3,EXT-3,Imported Product 3,Hardware,5730.9900,I,0,2026-08-12 20:05:08.216634
4,EXT-4,Imported Product 4,Software,3529.9900,I,0,2026-08-12 20:05:08.220718
5,EXT-5,Imported Product 5,Services,5560.9900,D,0,2026-08-12 20:05:08.220718
6,EXT-6,Imported Product 6,Services,5711.9900,I,0,2026-08-12 20:05:08.220718
7,EXT-7,Imported Product 7,Services,1598.9900,I,0,2026-08-12 20:05:08.224853
8,EXT-8,Imported Product 8,Software,858.9900,I,0,2026-08-12 20:05:08.224853
9,EXT-9,Imported Product 9,Software,6964.9900,U,0,2026-08-12 20:05:08.224853
10,EXT-10,Imported Product 10,Software,8204.9900,U,0,2026-08-12 20:05:08.224853
11,EXT-11,Imported Product 11,Hardware,8037.9900,U,0,2026-08-12 20:05:08.228934
12,EXT-12,Imported Product 12,Services,2180.9900,I,0,2026-08-12 20:05:08.228934
13,EXT-13,Imported Product 13,Software,6175.9900,D,0,2026-08-12 20:05:08.228934
14,EXT-14,Imported Product 14,Services,8591.9900,U,0,2026-08-12 20:05:08.233008
15,EXT-15,Imported Product 15,Hardware,7164.9900,I,0,2026-08-12 20:05:08.233008
16,EXT-16,Imported Product 16,Hardware,3511.9900,D,0,2026-08-12 20:05:08.237082
17,EXT-17,Imported Product 17,Services,3875.9900,I,0,2026-08-12 20:05:08.237082
18,EXT-18,Imported Product 18,Services,6453.9900,D,0,2026-08-12 20:05:08.237082
19,EXT-19,Imported Product 19,Services,6653.9900,I,0,2026-08-12 20:05:08.237082
20,EXT-20,Imported Product 20,Services,7437.9900,I,0,2026-08-12 20:05:08.241166
21,EXT-21,Imported Product 21,Hardware,3815.9900,D,0,2026-08-12 20:05:08.241166
22,EXT-22,Imported Product 22,Hardware,1267.9900,D,0,2026-08-12 20:05:08.241166
23,EXT-23,Imported Product 23,Hardware,2446.9900,D,0,2026-08-12 20:05:08.245249
24,EXT-24,Imported Product 24,Software,9570.9900,U,0,2026-08-12 20:05:08.245249
25,EXT-25,Imported Product 25,Hardware,5316.9900,U,0,2026-08-12 20:05:08.245249
26,EXT-26,Imported Product 26,Software,535.9900,U,0,2026-08-12 20:05:08.249331
27,EXT-27,Imported Product 27,Software,3530.9900,D,0,2026-08-12 20:05:08.249331
28,EXT-28,Imported Product 28,Software,9197.9900,D,0,2026-08-12 20:05:08.249331
29,EXT-29,Imported Product 29,Services,5175.9900,U,0,2026-08-12 20:05:08.253402
30,EXT-30,Imported Product 30,Software,1431.9900,U,0,2026-08-12 20:05:08.253402
31,EXT-31,Imported Product 31,Services,490.9900,I,0,2026-08-12 20:05:08.257485
32,EXT-32,Imported Product 32,Software,6048.9900,D,0,2026-08-12 20:05:08.257485
33,EXT-33,Imported Product 33,Services,8534.9900,I,0,2026-08-12 20:05:08.257485
34,EXT-34,Imported Product 34,Software,6297.9900,D,0,2026-08-12 20:05:08.261563
35,EXT-35,Imported Product 35,Hardware,3027.9900,I,0,2026-08-12 20:05:08.261563
36,EXT-36,Imported Product 36,Services,3683.9900,U,0,2026-08-12 20:05:08.261563
37,EXT-37,Imported Product 37,Services,6946.9900,D,0,2026-08-12 20:05:08.261563
38,EXT-38,Imported Product 38,Services,7160.9900,D,0,2026-08-12 20:05:08.265646
39,EXT-39,Imported Product 39,Hardware,1815.9900,U,0,2026-08-12 20:05:08.265646
40,EXT-40,Imported Product 40,Software,3369.9900,D,0,2026-08-12 20:05:08.265646
41,EXT-41,Imported Product 41,Services,5965.9900,U,0,2026-08-12 20:05:08.269719
42,EXT-42,Imported Product 42,Software,3291.9900,D,0,2026-08-12 20:05:08.269719
43,EXT-43,Imported Product 43,Software,5474.9900,U,0,2026-08-12 20:05:08.269719
44,EXT-44,Imported Product 44,Hardware,3658.9900,D,0,2026-08-12 20:05:08.273839
45,EXT-45,Imported Product 45,Software,10073.9900,U,0,2026-08-12 20:05:08.273839
46,EXT-46,Imported Product 46,Hardware,4180.9900,D,0,2026-08-12 20:05:08.277920
