5,2021,2,1629,561,39807.00,97
7,2021,4,6236,222,38717.00,12
12,2021,3,1533,886,31155.00,75
24,2021,12,1938,228,8997.00,44
27,2021,9,6059,487,45614.00,16
30,2021,2,3262,727,12122.00,84
35,2021,10,6831,48,18330.00,89
44,2021,2,3251,940,23166.00,46
45,2021,6,6268,386,26706.00,67
48,2021,8,5095,89,43208.00,46
58,2021,2,1558,546,21847.00,37
60,2021,7,5813,596,23047.00,97
65,2021,5,5261,701,23379.00,2
69,2021,3,5011,254,29346.00,64
74,2021,1,4774,366,25946.00,98
75,2021,2,1374,337,1128.00,85
86,2021,6,6835,336,46804.00,62
88,2021,12,7092,997,43457.00,93
103,2021,9,3879,235,30048.00,32
106,2021,9,5985,759,20251.00,11
110,2021,6,1377,262,28162.00,69
111,2021,8,6358,463,2890.00,62
112,2021,11,3027,682,21893.00,81
114,2021,1,6157,244,27625.00,40
118,2021,4,4657,368,27112.00,87
120,2021,12,1629,783,46734.00,27
121,2021,10,1737,666,26357.00,58
127,2021,5,2234,639,14399.00,57
128,2021,8,6002,921,14460.00,73
131,2021,3,2452,130,5501.00,35
144,2021,9,2387,153,15306.00,39
145,2021,9,3458,10,26915.00,24
146,2021,6,7297,544,42327.00,32
154,2021,3,3716,591,44633.00,96
163,2021,8,3356,409,28963.00,35
164,2021,10,7464,897,44914.00,82
170,2021,6,7568,133,14193.00,92
190,2021,4,9062,752,3745.00,59
191,2021,7,1669,996,47717.00,77
201,2021,12,3380,553,18809.00,71
202,2021,11,3901,209,36499.00,17
205,2021,10,5180,648,31266.00,6
207,2021,5,7466,554,1431.00,44
215,2021,7,3428,678,18928.00,16
220,2021,9,6732,710,33003.00,62
224,2021,4,2970,325,11073.00,32
228,2021,7,4262,821,33917.00,78
240,2021,2,3203,769,47498.00,46
244,2021,3,1585,718,11290.00,61
256,2021,9,7543,830,49806.00,46
261,2021,11,3651,719,42708.00,28
263,2021,4,5757,507,22668.00,19
264,2021,7,6096,915,15227.00,58
274,2021,7,9036,700,47754.00,45
275,2021,9,7012,311,1473.00,44
291,2021,12,4338,855,21853.00,33
302,2021,12,2068,828,40543.00,66
308,2021,12,8867,901,18176.00,55
312,2021,9,2542,299,44157.00,5
313,2021,10,5625,954,18078.00,8
323,2021,7,1174,457,5038.00,88
326,2021,7,3822,186,9469.00,68
337,2021,7,8721,788,48035.00,56
339,2021,5,8050,314,41238.00,31
345,2021,10,6069,65,17165.00,92
349,2021,3,5116,242,21967.00,47
361,2021,1,9305,413,5437.00,75
362,2021,8,7385,290,34615.00,13
366,2021,8,3341,594,39402.00,35
367,2021,4,1611,469,26051.00,68
372,2021,3,2130,40,19792.00,28
379,2021,6,5989,47,23984.00,90
389,2021,11,5622,315,16067.00,26
390,2021,2,9874,634,13379.00,30
404,2021,9,3700,525,48633.00,3
416,2021,5,7163,431,3830.00,72
417,2021,10,8067,470,43713.00,19
418,2021,7,1767,551,35290.00,12
428,2021,10,9299,221,5928.00,77
429,2021,12,5029,596,6088.00,46
430,2021,2,3242,44,6057.00,65
437,2021,5,2293,452,42447.00,44
446,2021,12,8171,522,19567.00,33
465,2021,4,6682,120,48498.00,38
468,2021,3,2202,588,33823.00,84
474,2021,12,3086,723,3647.00,32
476,2021,6,8203,199,11564.00,91
480,2021,2,6379,943,15158.00,85
483,2021,1,1460,231,49213.00,53
487,2021,5,2134,616,31976.00,8
504,2021,9,2142,501,11556.00,21
509,2021,5,9849,451,45988.00,39
514,2021,11,6585,935,26214.00,64
527,2021,8,8137,887,37464.00,27
533,2021,2,1909,433,33394.00,73
535,2021,10,8056,969,23237.00,21
537,2021,3,1654,676,42701.00,47
544,2021,12,7952,296,40884.00,97
551,2021,6,1134,282,1298.00,85
568,2021,10,5787,9,3540.00,47
572,2021,5,7545,246,48070.00,24
587,2021,12,2927,717,1952.00,7
592,2021,1,3762,31,12537.00,29
594,2021,4,3973,940,37773.00,44
595,2021,1,9676,439,12119.00,24
599,2021,11,5220,282,40787.00,87
613,2021,6,7612,847,2959.00,19
616,2021,11,4771,261,44779.00,34
623,2021,1,3863,898,38166.00,34
624,2021,2,9541,710,17665.00,82
631,2021,11,7485,582,29177.00,56
634,2021,4,9680,154,48453.00,81
637,2021,3,4675,770,27672.00,64
638,2021,8,8001,510,13433.00,28
641,2021,1,6499,274,297.00,73
642,2021,12,3429,406,16669.00,49
648,2021,1,9157,108,28971.00,18
658,2021,3,3354,459,49763.00,55
659,2021,3,5963,399,38331.00,45
660,2021,10,7471,23,36443.00,10
664,2021,10,8864,608,47462.00,89
665,2021,12,3229,286,4700.00,17
666,2021,11,3539,937,6746.00,8
676,2021,9,1218,91,3351.00,77
683,2021,2,2844,478,13056.00,37
686,2021,5,7990,114,33854.00,64
689,2021,1,8281,894,38816.00,87
692,2021,7,2026,67,23788.00,73
697,2021,12,3082,942,23917.00,4
702,2021,2,9066,78,30554.00,50
711,2021,11,8929,292,48860.00,47
713,2021,10,2079,605,8622.00,63
717,2021,4,6892,953,36509.00,53
718,2021,11,9726,663,46984.00,22
719,2021,7,2019,584,41031.00,18
721,2021,12,5046,487,40877.00,42
736,2021,6,9107,302,36489.00,24
742,2021,4,4290,656,29725.00,40
747,2021,1,7482,116,9790.00,99
752,2021,11,1980,237,19864.00,70
756,2021,9,8410,127,34123.00,66
757,2021,6,4683,659,41702.00,88
766,2021,5,5810,645,39798.00,42
774,2021,10,3188,293,26730.00,55
777,2021,11,6173,126,40665.00,82
793,2021,5,8961,829,18941.00,33
805,2021,12,3097,447,26243.00,27
806,2021,1,1565,551,34692.00,71
808,2021,8,3907,102,30318.00,42
812,2021,2,4704,462,36604.00,85
821,2021,11,5445,901,6469.00,67
823,2021,6,1936,509,3568.00,82
824,2021,11,1171,838,26825.00,56
831,2021,5,4188,496,561.00,66
834,2021,6,1973,754,43281.00,67
841,2021,4,5282,248,20006.00,23
857,2021,6,2287,916,36061.00,65
864,2021,3,4631,906,33205.00,53
869,2021,9,8839,794,41838.00,7
875,2021,8,1767,229,8108.00,20
884,2021,4,3209,979,36035.00,70
899,2021,11,8369,53,25042.00,61
920,2021,3,5718,83,13069.00,26
922,2021,3,2297,791,34819.00,66
925,2021,3,3010,436,154.00,94
929,2021,1,2293,532,26353.00,49
934,2021,4,4951,92,9730.00,70
936,2021,6,3739,728,20743.00,94
946,2021,10,1569,318,12527.00,88
947,2021,2,9875,929,4782.00,98
950,2021,11,2253,227,36547.00,14
961,2021,3,9045,935,42008.00,22
968,2021,1,6389,809,48855.00,17
970,2021,2,9851,308,17011.00,55
976,2021,3,6474,555,29401.00,57
981,2021,3,8768,450,33207.00,1
983,2021,2,9325,89,14298.00,50
994,2021,5,4295,296,43416.00,96
996,2021,1,5326,652,33440.00,13
1003,2021,2,9010,37,3718.00,53
1008,2021,12,2249,496,48269.00,18
1011,2021,1,7105,129,20490.00,51
