1,3289,2438,719,16,34359.9900,0.0000,549759.84000000,2026-08-12 20:04:33.798124,POINT (36.35 -28.95),"{""payment_method"":""crypto"",""terms"":""immediate"",""po_number"":""PO-2026-0001"",""processed"":false,""discount_code"":null}",pending,2026-08-12 20:04:33.798124,2026-08-12 20:11:23.339110
2,1369,4183,460,18,98161.9900,0.0000,1766915.82000000,2026-08-12 20:04:33.806299,POINT (-123.17 45.06),"{""payment_method"":""sepa"",""terms"":""immediate"",""po_number"":""PO-2026-0002"",""processed"":true,""discount_code"":null}",disputed,2026-08-12 20:04:33.806299,2026-08-12 20:11:23.339110
3,2745,9387,918,4,36310.9900,0.0000,145243.96000000,2026-08-12 20:04:33.814443,POINT (88.51 43.21),"{""payment_method"":""sepa"",""terms"":""immediate"",""po_number"":""PO-2026-0003"",""processed"":false,""discount_code"":null}",completed,2026-08-12 20:04:33.814443,2026-08-12 20:11:23.339110
4,4555,9725,861,47,84540.9900,0.0000,3973426.53000000,2026-08-12 20:04:33.818519,POINT (168.31 69.79),"{""payment_method"":""crypto"",""terms"":""net_30"",""po_number"":""PO-2026-0004"",""processed"":false,""discount_code"":null}",pending,2026-08-12 20:04:33.818519,2026-08-12 20:11:23.339110
5,1753,5407,767,11,81440.9900,0.0000,895850.89000000,2026-08-12 20:04:33.826665,POINT (-24.58 -21.33),"{""payment_method"":""ach"",""terms"":""net_60"",""po_number"":""PO-2026-0005"",""processed"":false,""discount_code"":null}",pending,2026-08-12 20:04:33.826665,2026-08-12 20:11:23.339110
6,1474,3003,268,24,90245.9900,0.0000,2165903.76000000,2026-08-12 20:04:33.830745,POINT (69.46 -83.38),"{""payment_method"":""crypto"",""terms"":""net_30"",""po_number"":""PO-2026-0006"",""processed"":false,""discount_code"":null}",pending,2026-08-12 20:04:33.830745,2026-08-12 20:11:23.339110
7,541,2826,750,7,48037.9900,0.0000,336265.93000000,2026-08-12 20:04:33.838888,POINT (-158.3 1.02),"{""payment_method"":""credit_card"",""terms"":""net_60"",""po_number"":""PO-2026-0007"",""processed"":true,""discount_code"":null}",refunded,2026-08-12 20:04:33.838888,2026-08-12 20:11:23.339110
8,3581,1312,173,40,43194.9900,0.0000,1727799.60000000,2026-08-12 20:04:33.842959,POINT (97.48 86),"{""payment_method"":""crypto"",""terms"":""net_30"",""po_number"":""PO-2026-0008"",""processed"":false,""discount_code"":null}",pending,2026-08-12 20:04:33.842959,2026-08-12 20:11:23.339110
9,817,4296,758,19,76775.9900,0.0000,1458743.81000000,2026-08-12 20:04:33.851101,POINT (-45.53 -65.22),"{""payment_method"":""wire_transfer"",""terms"":""net_60"",""po_number"":""PO-2026-0009"",""processed"":false,""discount_code"":null}",pending,2026-08-12 20:04:33.851101,2026-08-12 20:11:23.339110
10,2581,1992,852,15,53011.9900,0.0000,795179.85000000,2026-08-12 20:04:33.855173,POINT (112.68 -25.45),"{""payment_method"":""crypto"",""terms"":""net_30"",""po_number"":""PO-2026-0010"",""processed"":true,""discount_code"":null}",refunded,2026-08-12 20:04:33.855173,2026-08-12 20:11:23.339110
11,3042,5490,478,47,83976.9900,0.0000,3946918.53000000,2026-08-12 20:04:33.863322,POINT (-80.23 -59.5),"{""payment_method"":""credit_card"",""terms"":""net_30"",""po_number"":""PO-2026-0011"",""processed"":true,""discount_code"":null}",pending,2026-08-12 20:04:33.863322,2026-08-12 20:11:23.339110
12,4045,3072,908,42,53802.9900,0.0000,2259725.58000000,2026-08-12 20:04:33.867394,POINT (110 -59.86),"{""payment_method"":""credit_card"",""terms"":""immediate"",""po_number"":""PO-2026-0012"",""processed"":false,""discount_code"":null}",refunded,2026-08-12 20:04:33.867394,2026-08-12 20:11:23.339110
13,1851,7674,794,2,32976.9900,0.1500,56060.88300000,2026-08-12 20:04:33.875537,POINT (-41.58 62.1),"{""payment_method"":""crypto"",""terms"":""net_60"",""po_number"":""PO-2026-0013"",""processed"":false,""discount_code"":""SAVE15""}",refunded,2026-08-12 20:04:33.875537,2026-08-12 20:11:23.339110
15,1326,7040,477,19,58266.9900,0.0000,1107072.81000000,2026-08-12 20:04:33.887781,POINT (-120.58 -7.07),"{""payment_method"":""crypto"",""terms"":""net_45"",""po_number"":""PO-2026-0015"",""processed"":true,""discount_code"":null}",refunded,2026-08-12 20:04:33.887781,2026-08-12 20:11:23.339110
16,2806,3859,953,17,38431.9900,0.0000,653343.83000000,2026-08-12 20:04:33.895925,POINT (160.4 -35.6),"{""payment_method"":""crypto"",""terms"":""immediate"",""po_number"":""PO-2026-0016"",""processed"":true,""discount_code"":null}",pending,2026-08-12 20:04:33.895925,2026-08-12 20:11:23.339110
17,2787,2291,28,1,96716.9900,0.0000,96716.99000000,2026-08-12 20:04:33.904091,POINT (-9.89 3.04),"{""payment_method"":""ach"",""terms"":""immediate"",""po_number"":""PO-2026-0017"",""processed"":false,""discount_code"":null}",pending,2026-08-12 20:04:33.904091,2026-08-12 20:11:23.339110
18,426,9327,279,28,96606.9900,0.0000,2704995.72000000,2026-08-12 20:04:33.908169,POINT (112.53 54.65),"{""payment_method"":""credit_card"",""terms"":""net_30"",""po_number"":""PO-2026-0018"",""processed"":true,""discount_code"":null}",disputed,2026-08-12 20:04:33.908169,2026-08-12 20:11:23.339110
19,2342,5205,303,38,81043.9900,0.0000,3079671.62000000,2026-08-12 20:04:33.916313,POINT (140.08 -54.37),"{""payment_method"":""crypto"",""terms"":""net_60"",""po_number"":""PO-2026-0019"",""processed"":false,""discount_code"":null}",pending,2026-08-12 20:04:33.916313,2026-08-12 20:11:23.339110
20,4468,1650,794,27,32976.9900,0.0000,890378.73000000,2026-08-12 20:04:33.920387,POINT (112.89 15.94),"{""payment_method"":""ach"",""terms"":""net_45"",""po_number"":""PO-2026-0020"",""processed"":true,""discount_code"":null}",pending,2026-08-12 20:04:33.920387,2026-08-12 20:11:23.339110
21,3660,3345,592,8,41165.9900,0.0000,329327.92000000,2026-08-12 20:04:33.928532,POINT (-36.77 -63.12),"{""payment_method"":""ach"",""terms"":""net_45"",""po_number"":""PO-2026-0021"",""processed"":false,""discount_code"":null}",completed,2026-08-12 20:04:33.928532,2026-08-12 20:11:23.339110
22,1563,5143,683,15,8190.9900,0.0000,122864.85000000,2026-08-12 20:04:33.932603,POINT (-76.74 74.44),"{""payment_method"":""sepa"",""terms"":""net_30"",""po_number"":""PO-2026-0022"",""processed"":false,""discount_code"":null}",disputed,2026-08-12 20:04:33.932603,2026-08-12 20:11:23.339110
23,1427,3878,53,13,24008.9900,0.0000,312116.87000000,2026-08-12 20:04:33.940741,POINT (-86.2 29.68),"{""payment_method"":""ach"",""terms"":""immediate"",""po_number"":""PO-2026-0023"",""processed"":true,""discount_code"":null}",disputed,2026-08-12 20:04:33.940741,2026-08-12 20:11:23.339110
